id,SentMessages,ReceivedMessages,MessagesOutsideWorkHours,SentFrequency,ReceivedFrequency,sent_received_ratio,UniqueRecipients,hidden_copy,carbon_copy,text_length,BytesSentReceivedRatio,question_marks,response_time,MessagesReadLater,DaysBetweenReceivedAndRead,answered_messages,unanswered_messages,unreplied_messages,mention_colleagues,MoodType,StressKeywordsPresent,SalaryChangeMentioned,VacationMentioned,polite_message,Resigned,Group
1000,21,67,0,12,26,3.0454545454545454,7,0,1,94,1.768391081755524,0,3,4,2,20,0,1,1,0,1,0,0,0,0,Development Department
1001,33,134,4,11,26,3.9411764705882355,4,1,0,286,1.3994694148519997,0,9,6,1,26,0,3,0,0,0,0,0,0,1,Development Department
1002,31,72,0,14,29,2.25,6,4,1,68,0.9444629704348979,0,5,4,1,25,0,4,1,1,0,1,1,0,1,IT Infrastructure
1003,30,73,4,11,23,2.3548387096774195,6,4,1,124,1.5556506709178104,0,6,3,1,25,1,2,0,1,0,1,0,1,1,Quality Assurance
1004,68,111,9,15,34,1.608695652173913,8,0,0,93,1.9080647216407878,0,2,4,3,20,0,4,0,0,0,0,0,0,0,Quality Assurance
1005,65,116,0,17,46,1.7575757575757576,5,0,1,203,1.0892620608727768,0,9,5,0,24,0,4,1,0,0,1,0,0,0,Quality Assurance
1006,11,54,1,9,24,4.5,7,1,0,69,1.5293672959961653,0,4,5,1,28,0,3,1,0,0,0,1,0,0,Development Department
1007,87,128,0,14,34,1.4545454545454546,7,1,4,238,1.4158871599586154,2,11,6,1,25,1,3,1,0,1,1,1,0,1,Research and Development
1008,28,70,3,11,39,2.413793103448276,4,1,1,81,0.7628757983035633,0,0,4,2,27,1,1,0,1,0,1,0,1,1,Development Department
1009,61,77,0,13,36,1.2419354838709677,9,2,1,118,0.6726255481796003,0,7,5,0,25,1,3,1,1,0,1,1,0,1,Research and Development
1010,55,63,0,15,31,1.125,8,0,1,196,1.8678901543838415,5,5,1,1,23,0,2,1,0,1,0,0,0,0,Sales and Marketing
1011,39,82,5,16,32,2.05,4,0,0,141,1.9618053371795023,2,2,5,2,24,0,2,1,1,0,0,0,0,1,Development Department
1012,26,112,3,9,28,4.148148148148148,2,1,0,388,1.9808071266698632,8,4,4,3,18,0,3,1,0,1,1,1,0,1,Development Department
1013,17,107,0,8,32,5.944444444444445,4,1,0,110,1.2733155249948807,0,0,4,2,25,0,5,1,0,0,0,0,0,0,Development Department
1014,15,58,0,7,33,3.625,8,4,0,72,1.0401801376002535,0,1,5,0,17,0,0,0,1,0,1,1,0,0,Quality Assurance
1015,57,96,0,14,39,1.6551724137931034,13,2,1,348,1.9629135885205387,0,2,5,2,27,2,1,0,0,1,0,0,0,0,Quality Assurance
1016,74,73,10,19,30,0.9733333333333334,5,2,0,111,1.8534035527110655,0,6,2,2,31,2,0,1,0,0,0,0,0,0,Research and Development
1017,23,64,0,16,31,2.6666666666666665,3,0,1,87,1.80972601114155,0,3,4,2,24,0,3,0,0,0,1,0,0,1,Research and Development
1018,71,123,0,19,30,1.7083333333333333,9,4,4,212,1.0525275017888405,1,10,2,2,23,2,2,1,0,0,0,1,0,0,Development Department
1019,53,112,0,13,35,2.074074074074074,9,5,1,146,1.5203361391432584,0,6,6,2,25,0,3,1,0,0,0,1,0,0,Research and Development
1020,23,66,3,14,36,2.75,3,0,0,92,1.7081304136333268,1,4,4,2,18,0,4,1,0,0,0,0,0,1,Quality Assurance
1021,14,106,0,13,37,7.066666666666666,7,0,0,101,1.5762314444809074,0,6,6,0,20,0,1,0,0,0,0,0,0,0,Research and Development
1022,65,72,0,13,27,1.0909090909090908,4,1,1,379,1.4357337726764876,5,0,6,2,23,2,2,0,1,0,0,0,0,0,Sales and Marketing
1023,20,100,0,11,34,4.761904761904762,6,2,0,122,1.7778888171767935,2,6,6,2,17,0,3,1,0,0,0,0,0,0,Quality Assurance
1024,21,112,0,10,31,5.090909090909091,6,2,0,113,1.802969245117188,1,1,7,1,24,0,2,1,0,0,1,0,0,0,Sales and Marketing
1025,75,84,10,15,39,1.105263157894737,14,6,1,123,0.8930808928281324,0,2,3,0,31,1,4,0,0,0,1,1,0,1,Research and Development
1026,67,106,9,15,34,1.5588235294117647,4,2,0,195,1.132776784660737,0,5,6,2,31,2,1,0,0,0,1,0,0,0,IT Infrastructure
1027,23,117,3,9,27,4.875,3,0,0,357,1.8180266324581116,0,4,5,0,23,0,5,1,0,0,0,0,0,1,Development Department
1028,79,81,0,11,32,1.0125,9,3,1,131,0.9225462617167133,0,8,2,0,34,1,4,1,0,0,0,1,0,1,Quality Assurance
1029,11,53,1,11,34,4.416666666666667,5,0,0,58,2.005890948971673,0,1,3,0,17,0,2,1,0,0,0,1,0,0,Sales and Marketing
1030,25,68,0,11,33,2.6153846153846154,3,0,0,493,1.8368014508865715,0,2,4,0,28,0,4,1,0,0,1,0,1,1,IT Infrastructure
1031,69,69,0,13,30,0.9857142857142858,6,2,1,146,1.872755737478294,2,6,4,0,30,2,2,1,0,0,0,0,0,0,IT Infrastructure
1032,57,64,7,13,30,1.103448275862069,7,3,0,118,0.979053326474049,1,2,3,1,25,2,4,1,0,0,1,1,0,0,Quality Assurance
1033,38,85,0,7,28,2.1794871794871793,8,5,1,138,0.7230601309929319,0,5,5,0,24,0,2,1,1,0,0,0,0,1,Quality Assurance
1034,45,117,0,18,32,2.5434782608695654,2,1,1,104,0.7271902933893211,0,2,4,1,29,0,1,0,0,0,1,1,0,1,IT Infrastructure
1035,29,80,4,15,29,2.6666666666666665,4,1,0,121,1.4138613096087376,0,2,5,2,25,1,0,1,0,1,0,1,0,1,Development Department
1036,73,73,0,14,37,0.9864864864864865,8,1,1,235,0.9879802556561577,0,7,4,1,27,3,3,0,0,0,1,1,0,0,Development Department
1037,12,54,1,6,27,4.153846153846154,1,0,0,212,1.0198979098695318,0,2,0,0,18,0,5,0,0,0,0,1,0,0,Sales and Marketing
