id,SentMessages,ReceivedMessages,MessagesOutsideWorkHours,SentFrequency,ReceivedFrequency,SentReceivedRatio,UniqueRecipients,HiddenCopy,CarbonCopy,TextLength,BytesSentReceivedRatio,QuestionMarks,ResponseTime,MessagesReadLater,DaysBetweenReceivedAndRead,AnsweredMessages,UnansweredMessages,UnrepliedMessages,MentionColleagues,MoodType,StressKeywordsPresent,SalaryChangeMentioned,VacationMentioned,PoliteMessage,Resigned,Group
1000,67,94,2,16,14,1.3823529411764706,5,1,2,127,1.911393120987206,4,3,4,0,27,12,6,1,0,1,0,0,0,1,Development Department
1001,84,93,3,13,15,1.0941176470588236,6,1,2,149,0.7863379505441148,4,2,4,0,26,13,3,3,1,0,0,0,0,1,Development Department
1002,64,73,2,11,17,1.123076923076923,7,3,2,100,0.8405621717342779,4,3,5,3,24,15,12,3,0,1,0,1,0,0,IT Infrastructure
1003,67,78,2,17,9,1.1470588235294117,7,3,5,98,0.927317872727883,4,3,4,1,27,13,17,4,0,2,0,1,0,0,Quality Assurance
1004,71,97,2,17,18,1.3472222222222223,8,5,2,125,1.483478290824976,3,2,3,0,26,8,5,1,0,0,0,0,0,1,Quality Assurance
1005,68,75,2,19,15,1.0869565217391304,9,5,4,217,1.6815529981250403,4,3,6,1,22,19,11,1,0,0,0,0,0,0,Quality Assurance
1006,74,100,2,11,10,1.3333333333333333,12,3,4,185,1.7268987902219393,4,3,5,0,36,11,1,2,0,0,0,0,0,1,Development Department
1007,70,73,2,10,13,1.028169014084507,6,1,6,227,1.2997846465811773,3,3,4,0,26,10,10,1,0,1,0,0,0,1,Research and Development
1008,66,75,2,16,15,1.1194029850746268,8,5,4,166,1.1735920286677577,4,2,6,3,21,18,12,3,0,2,0,0,0,0,Development Department
1009,60,87,2,11,17,1.4262295081967213,5,2,2,99,0.7179659344362626,4,1,4,0,31,7,12,1,0,0,0,0,0,1,Research and Development
1010,70,83,2,13,14,1.1690140845070423,10,2,5,211,1.6195895246827323,4,5,4,2,19,15,11,2,0,3,0,1,0,0,Sales and Marketing
1011,63,85,2,14,14,1.328125,1,3,3,186,1.9890193996160344,3,4,4,0,22,15,10,0,0,1,0,1,0,0,Development Department
